,,,,,Disp eff %,,,,,,,,,,,,,,,,Goal acc %,top_four
AVG,AVG,AVG,AVG,AVG,TOT,AVG,AVG,AVG,AVG,AVG,AVG,AVG,AVG,AVG,AVG,AVG,AVG,AVG,AVG,AVG,TOT,
218.8,173.5,392.3,154.7,239.4,73,56.2,90.9,12.4,14.6,45.4,39.6,13.2,26.4,37.9,19.9,20,71.8,50.3,6.6,57.5,51.8,1
204.6,159.2,363.8,130.8,229.7,73,54.4,94,9.2,9.4,40.5,36.5,13.5,23,43.5,20.3,18.2,62.1,46.1,3.5,46,52.2,0
225.7,134,359.7,137.5,219.9,72.6,53,104,11.6,10.9,39,34.3,11.7,22.6,38.6,20,18.7,69.4,46,6.6,46.8,49,0
222.6,180.2,402.9,144.2,259.8,73.4,52.8,105.7,11.4,12.6,43,37.5,12.3,25.1,36.8,18,15.9,69.5,44.9,8.3,54.5,47.1,0
219.6,177.4,397,138.7,256.5,74.2,54.2,104.3,11.6,12.3,36.3,34.3,13.4,20.9,40.2,18.2,18.6,64.3,46.1,8,51.4,48.8,0
202.5,158.2,360.8,133.4,226.6,73.6,53,90.8,10.7,9.1,43.3,36,12.9,23.1,37.8,17.1,18.9,63.7,44.1,5.1,47.5,49.3,0
198.8,184,382.8,147.4,237.4,73.3,55.2,87,12.4,12.6,41,37.2,12.4,24.7,38.1,20.6,21.1,76,43.2,7.6,53,48.9,1
211,176.6,387.5,138,248.1,73.3,54,96.4,9.1,10.3,41.1,36.3,14,22.3,40,17.3,17.5,61.6,47,10,48.4,50.6,0
213.6,171.3,384.8,144.2,240.8,74.6,54.8,89,9.7,11.7,45.2,42.2,13.6,28.7,39.2,18.8,21,70.6,47.2,9.9,54.4,48.7,1
215,178.8,393.7,134.4,258.8,76.4,49.8,103.4,10.8,11,39.9,35.1,11.4,23.8,36.8,16.5,17.8,69.8,52.9,6.4,48.4,51.9,0
208.4,196.8,405.2,153.2,252.8,72.8,57.6,85.6,9.4,11.9,34.3,37.9,13.5,24.4,37.5,18.6,18.8,71.9,50.6,6.5,55,54.2,0
192.4,176.3,368.6,139.6,228.7,73.4,51.8,83.1,11.4,12.8,41.5,36,13.5,22.5,39.6,19.8,18,69.6,39.7,6.3,52.9,48.9,0
218.5,160.3,378.8,150.5,228.5,71.3,56.7,94.6,13.7,13.4,45.2,39,13.3,25.7,37.5,19.3,20.4,69.5,53.6,6.8,59.4,46.1,0
210.3,154.4,364.7,144.9,214.2,70.2,58,84.5,11,14,31.8,36,13,23,39.1,18.8,21.2,69.7,47.8,8.6,55.8,46.8,1
210,188,398,142.7,255.5,74.2,52,93.2,11.4,13,38.5,35.8,12.4,23.4,38.3,17.8,17,69.2,42.8,7.7,52.8,45.5,0
209.5,162.3,371.8,146.1,225.3,72.4,54.1,90.9,12.6,13,38.5,36,12.3,23.7,38.4,19,20.2,69.3,44.5,4.5,52.8,49.3,0
213.8,162.6,376.4,139.4,239.9,73.4,50.9,99.5,12.5,11.8,38.5,37,12.1,24.9,40.7,19,17.8,63.4,47.9,5.8,49.6,52.1,0
203.8,188.6,392.5,144,246.9,74,47.4,84,9.6,12,34.5,34.5,11.3,23.2,36.1,19.7,16.9,70.4,47.5,7.1,54.7,43.1,0
220,171.5,391.5,152.3,239.8,73,50.1,94.8,12.9,14.3,38.8,38.6,14.4,24.2,37.3,18.4,17,68.8,47.5,6.5,57.9,51.8,0
184.2,153.3,337.5,135.1,199.7,72,51.3,72.7,8.5,10.4,39.5,36.2,13.5,22.7,42,20.2,21.2,68.2,50.1,3.8,46.3,50.3,0
204.4,164.9,369.3,132.4,233,74.4,49.3,89.9,10.5,12,39.2,34.9,10.4,24.5,38.4,18.1,17.5,66,45.9,7.7,50.8,44.3,0
204.5,175.5,380,143.5,239.4,74.3,49.6,89.5,11.2,11.3,35.3,34.4,11.8,22.6,37.5,20.1,18.4,78,48.9,5,51.5,51,0
206,176.3,382.3,131.5,253.1,74.6,50.5,101.7,10.1,10.3,36.7,33.4,11.4,22,41,18.5,16.9,64.9,46.7,4,46,41.8,0
198.7,170.6,369.3,138,230.5,73.5,51,85,10.6,9,41.5,36.2,11.5,24.7,39.1,17.3,17.9,72.3,46.6,5.2,45.5,49,0
209.8,172.7,382.4,149,235.3,74.2,52,95.1,14,14.6,39.8,37.8,13.6,24.2,33.8,19.7,21.4,69.8,45.8,6.2,57.1,50,1
195.7,160,355.7,134.6,221.9,72.5,49.3,87.3,10.7,11.7,31.2,33.1,11.7,21.4,41.5,16.8,18.3,69.5,47.7,9.7,48.6,50.2,0
219.5,169.5,389,150.2,238.7,73.5,53.2,94.2,11.9,12.5,44.8,41,13.3,27.6,40.8,18.1,20.3,68.8,49.4,13,58.1,51.9,1
211.6,157.3,368.9,130.5,235.2,75,47.3,93.2,9.8,11.8,43.2,36.4,12.5,24,34.5,19.3,18.6,71.5,56.5,5.5,53.6,53.4,0
200.2,193,393.2,148.5,242.7,73,53,81.4,11.1,12,47.9,38.1,12.9,25.2,37.3,18,19.2,71.7,44.8,7.3,53.9,51.3,0
201.1,161.6,362.7,143.1,221.2,74.2,47.6,85.3,12.3,11.9,42.8,37.2,13.2,24,39.5,20.6,17.5,65.5,44.4,8.1,51.7,49.9,0
199.8,161.1,360.9,147.1,213,70.7,58,73.9,9.6,10.3,30.4,38.9,12.7,26.2,41.7,18.6,21.3,76.1,62,8.8,54.9,51.7,0
208.5,158.8,367.2,136.5,230.4,74.6,51.1,97.3,12.5,12.7,42.3,34,12.2,21.8,40.5,19.2,20,60.1,40.8,5,45.8,50,0
203.1,174,377.1,133.6,243.3,75.3,49.7,92.2,12.3,14.4,38,34.4,13.5,20.9,38.8,16.8,17.9,66.3,42.8,7.2,53,51.6,0
212.6,183.9,396.5,164.2,231.2,71.1,53.3,81.5,13.1,11.7,41.7,39,12.4,26.5,42.3,18.4,20,77.8,48.8,3.7,56.9,52.1,1
199.9,153.7,353.6,139.8,215.8,72.9,47.1,86,12.8,13.6,47.1,37.7,12.7,25,37.1,19.9,18.9,69.9,45.6,4.1,52.3,53.9,0
212.5,199.4,412,149.7,263.5,74.1,47.4,92,10.8,11.6,33.3,37.6,12.1,25.6,34,20.4,16.4,67.8,49.5,7.2,54.6,47.6,1
