Club,Kicks,,Handballs,,Disposals,,Cont Poss,,Uncont Poss,,Disp eff %,Clangers,,Marks,,Cont marks,,Marks50,,HitOuts,,Clearances,,Centre clr,,Stoppages,,Rebound50,,Frees For,,Frees Agst,,Tackles,,One %s,,Bounces,,Inside50,,Goal acc %
,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT
Adelaide Crows,4781,217.3,3312,150.5,8093,367.9,3185,144.8,4832,219.6,71.5,962,43.7,2085,94.8,233,10.6,246,11.2,854,38.8,815,37,303,13.8,512,23.3,803,36.5,425,19.3,391,17.8,1286,58.5,923,42,214,9.7,1172,53.3,48.4
Brisbane Lions,4336,197.1,3204,145.6,7540,342.7,2972,135.1,4487,204,71.6,1046,47.5,1819,82.7,220,10,222,10.1,836,38,786,35.7,277,12.6,509,23.1,872,39.6,395,18,464,21.1,1398,63.5,1062,48.3,206,9.4,1117,50.8,49.6
Carlton,5006,208.6,3145,131,8151,339.6,3534,147.2,4515,188.1,70.1,1036,43.2,1945,81,305,12.7,310,12.9,1059,44.1,953,39.7,312,13,641,26.7,910,37.9,404,16.8,398,16.6,1515,63.1,1201,50,355,14.8,1267,52.8,48.7
Collingwood,4985,216.7,3728,162.1,8713,378.8,3225,140.2,5452,237,72.8,1029,44.7,2250,97.8,255,11.1,326,14.2,720,31.3,800,34.8,283,12.3,517,22.5,768,33.4,380,16.5,366,15.9,1506,65.5,1007,43.8,345,15,1263,54.9,48
Essendon,4898,222.6,3371,153.2,8269,375.9,3102,141,5104,232,72.1,950,43.2,2213,100.6,273,12.4,260,11.8,883,40.1,823,37.4,313,14.2,510,23.2,799,36.3,348,15.8,365,16.6,1332,60.5,942,42.8,193,8.8,1208,54.9,49.7
Fremantle,5390,215.6,3690,147.6,9080,363.2,3567,142.7,5513,220.5,72.3,1135,45.4,2434,97.4,254,10.2,289,11.6,1017,40.7,917,36.7,283,11.3,634,25.4,842,33.7,455,18.2,490,19.6,1647,65.9,1079,43.2,240,9.6,1193,47.7,52
Geelong Cats,5152,206.1,4101,164,9253,370.1,3625,145,5598,223.9,72.3,1088,43.5,2272,90.9,301,12,312,12.5,881,35.2,848,33.9,310,12.4,538,21.5,862,34.5,486,19.4,411,16.4,1651,66,1070,42.8,161,6.4,1441,57.6,51
Gold Coast Suns,4398,199.9,3323,151,7721,351,3066,139.4,4582,208.3,71.9,1019,46.3,1792,81.5,212,9.6,229,10.4,695,31.6,843,38.3,285,13,558,25.4,879,40,351,16,382,17.4,1326,60.3,1098,49.9,290,13.2,1092,49.6,46.4
GWS Giants,4242,192.8,3121,141.9,7363,334.7,2770,125.9,4531,206,70.9,1106,50.3,1869,85,160,7.3,148,6.7,824,37.5,795,36.1,305,13.9,490,22.3,862,39.2,394,17.9,429,19.5,1297,59,862,39.2,231,10.5,879,40,48.4
Hawthorn,5408,216.3,3931,157.2,9339,373.6,3555,142.2,5767,230.7,73.4,1056,42.2,2259,90.4,271,10.8,378,15.1,1023,40.9,949,38,362,14.5,587,23.5,858,34.3,453,18.1,456,18.2,1613,64.5,1276,51,193,7.7,1392,55.7,53.8
Melbourne,3999,181.8,3011,136.9,7010,318.6,2722,123.7,4218,191.7,70.9,997,45.3,1816,82.5,218,9.9,174,7.9,919,41.8,716,32.5,228,10.4,488,22.2,868,39.5,414,18.8,421,19.1,1344,61.1,950,43.2,277,12.6,881,40,46.3
North Melbourne,4761,216.4,3268,148.5,8029,365,3093,140.6,4867,221.2,74.2,950,43.2,2064,93.8,241,11,278,12.6,972,44.2,867,39.4,320,14.5,547,24.9,790,35.9,445,20.2,390,17.7,1289,58.6,843,38.3,283,12.9,1127,51.2,53.2
Port Adelaide,4832,201.3,3849,160.4,8681,361.7,3298,137.4,5334,222.2,70.5,1137,47.4,2072,86.3,222,9.2,309,12.9,926,38.6,897,37.4,297,12.4,600,25,837,34.9,447,18.6,461,19.2,1593,66.4,960,40,239,10,1225,51,49.2
Richmond,5070,220.4,3349,145.6,8419,366,3142,136.6,5235,227.6,73.2,1033,44.9,2259,98.2,244,10.6,311,13.5,818,35.6,862,37.5,303,13.2,559,24.3,822,35.7,431,18.7,426,18.5,1288,56,1004,43.7,327,14.2,1203,52.3,48.9
St Kilda,4508,204.9,3382,153.7,7890,358.6,2853,129.7,5015,228,72.9,1052,47.8,2037,92.6,240,10.9,264,12,744,33.8,745,33.9,261,11.9,484,22,817,37.1,356,16.2,397,18,1244,56.5,886,40.3,398,18.1,1021,46.4,47.2
Sydney Swans,5078,203.1,4149,166,9227,369.1,3880,155.2,5204,208.2,70.8,1150,46,1768,70.7,263,10.5,297,11.9,1181,47.2,1051,42,323,12.9,728,29.1,954,38.2,430,17.2,437,17.5,1778,71.1,1206,48.2,203,8.1,1340,53.6,52.6
West Coast Eagles,4492,204.2,3114,141.5,7606,345.7,3147,143,4414,200.6,70.4,946,43,1924,87.5,261,11.9,276,12.5,1040,47.3,861,39.1,291,13.2,570,25.9,809,36.8,443,20.1,363,16.5,1511,68.7,973,44.2,242,11,1058,48.1,49.9
Western Bulldogs,4363,198.3,3727,169.4,8090,367.7,3279,149,4788,217.6,72.6,989,45,1676,76.2,251,11.4,223,10.1,960,43.6,914,41.5,338,15.4,576,26.2,795,36.1,427,19.4,437,19.9,1455,66.1,1017,46.2,204,9.3,1121,51,51.2
All Clubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
