Club,Kicks,,Handballs,,Disposals,,Cont Poss,,Uncont Poss,,Disp eff %,Clangers,,Marks,,Cont marks,,Marks50,,HitOuts,,Clearances,,Centre clr,,Stoppages,,Rebound50,,Frees For,,Frees Agst,,Tackles,,One %s,,Bounces,,Inside50,,Goal acc %,top_four,
,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,,
Adelaide Crows,4562,207.4,3508,159.5,8070,366.8,3189,145,4805,218.4,72,928,42.2,1872,85.1,247,11.2,242,11,886,40.3,864,39.3,312,14.2,552,25.1,856,38.9,371,16.9,319,14.5,1366,62.1,1109,50.4,254,11.5,1212,55.1,50.4,0,Adelaide Crows
Brisbane Lions,4164,189.3,3506,159.4,7670,348.6,2751,125,4835,219.8,71.6,966,43.9,1882,85.5,162,7.4,185,8.4,840,38.2,804,36.5,249,11.3,555,25.2,852,38.7,382,17.4,396,18,1405,63.9,1166,53,166,7.5,1005,45.7,48.7,0,Brisbane Lions
Carlton,4620,210,2890,131.4,7510,341.4,2938,133.5,4528,205.8,71.7,912,41.5,2030,92.3,211,9.6,256,11.6,899,40.9,842,38.3,280,12.7,562,25.5,850,38.6,396,18,318,14.5,1353,61.5,1132,51.5,304,13.8,1048,47.6,49.9,0,Carlton
Collingwood,4432,201.5,3272,148.7,7704,350.2,2964,134.7,4692,213.3,70.6,1023,46.5,1872,85.1,191,8.7,261,11.9,778,35.4,763,34.7,245,11.1,518,23.5,823,37.4,325,14.8,356,16.2,1564,71.1,1103,50.1,222,10.1,1092,49.6,46.6,0,Collingwood
Essendon,5158,224.3,3684,160.2,8842,384.4,3107,135.1,5733,249.3,74.2,975,42.4,2470,107.4,243,10.6,280,12.2,843,36.7,855,37.2,293,12.7,562,24.4,810,35.2,361,15.7,367,16,1515,65.9,1097,47.7,137,6,1223,53.2,47.8,0,Essendon
Fremantle,4968,207,3768,157,8736,364,3466,144.4,5238,218.2,72.2,1015,42.3,2126,88.6,262,10.9,271,11.3,1284,53.5,942,39.2,288,12,654,27.2,822,34.2,356,14.8,419,17.5,1561,65,1060,44.2,164,6.8,1202,50.1,49.8,0,Fremantle
Geelong Cats,4904,204.3,3786,157.7,8690,362.1,3266,136.1,5452,227.2,73.1,1040,43.3,2245,93.5,275,11.5,337,14,924,38.5,816,34,272,11.3,544,22.7,846,35.2,407,17,398,16.6,1676,69.8,1155,48.1,151,6.3,1248,52,47.4,0,Geelong Cats
Gold Coast Suns,4326,196.6,3247,147.6,7573,344.2,3174,144.3,4298,195.4,70.1,1046,47.5,1609,73.1,194,8.8,219,10,723,32.9,885,40.2,272,12.4,613,27.9,902,41,343,15.6,386,17.5,1470,66.8,1251,56.9,234,10.6,1096,49.8,49.4,0,Gold Coast Suns
GWS Giants,4428,201.3,3414,155.2,7842,356.5,2865,130.2,4883,222,72.3,1001,45.5,1920,87.3,158,7.2,200,9.1,944,42.9,866,39.4,281,12.8,585,26.6,872,39.6,363,16.5,401,18.2,1498,68.1,1037,47.1,272,12.4,1032,46.9,48.4,0,GWS Giants
Hawthorn,5575,223,4334,173.4,9909,396.4,3569,142.8,6233,249.3,74.3,1054,42.2,2332,93.3,237,9.5,319,12.8,1118,44.7,1020,40.8,327,13.1,693,27.7,870,34.8,405,16.2,394,15.8,1558,62.3,1360,54.4,265,10.6,1384,55.4,57.1,1,Hawthorn
Melbourne,4304,195.6,3421,155.5,7725,351.1,2864,130.2,4805,218.4,73.8,937,42.6,1945,88.4,218,9.9,191,8.7,986,44.8,755,34.3,218,9.9,537,24.4,857,39,388,17.6,379,17.2,1395,63.4,1059,48.1,115,5.2,892,40.5,46.1,0,Melbourne
North Melbourne,5217,208.7,4018,160.7,9235,369.4,3384,135.4,5755,230.2,74,1068,42.7,2261,90.4,254,10.2,266,10.6,1047,41.9,939,37.6,304,12.2,635,25.4,972,38.9,433,17.3,428,17.1,1592,63.7,1250,50,330,13.2,1255,50.2,48.2,1,North Melbourne
Port Adelaide,5232,209.3,4097,163.9,9329,373.2,3560,142.4,5698,227.9,71.2,1151,46,2257,90.3,263,10.5,344,13.8,1058,42.3,1004,40.2,312,12.5,692,27.7,839,33.6,423,16.9,429,17.2,1727,69.1,1279,51.2,380,15.2,1405,56.2,49.2,1,Port Adelaide
Richmond,4761,207,3746,162.9,8507,369.9,3145,136.7,5269,229.1,73.1,1081,47,2000,87,205,8.9,278,12.1,923,40.1,922,40.1,264,11.5,658,28.6,845,36.7,437,19,430,18.7,1462,63.6,1117,48.6,215,9.3,1156,50.3,50.3,0,Richmond
St Kilda,4334,197,3227,146.7,7561,343.7,2778,126.3,4737,215.3,71.9,1002,45.5,2018,91.7,208,9.5,217,9.9,792,36,795,36.1,270,12.3,525,23.9,817,37.1,341,15.5,372,16.9,1422,64.6,928,42.2,223,10.1,966,43.9,46.8,0,St Kilda
Sydney Swans,5232,209.3,4218,168.7,9450,378,3675,147,5717,228.7,71.6,1133,45.3,2060,82.4,256,10.2,302,12.1,927,37.1,964,38.6,303,12.1,661,26.4,918,36.7,422,16.9,411,16.4,1809,72.4,1409,56.4,191,7.6,1408,56.3,50.1,1,Sydney Swans
West Coast Eagles,4538,206.3,3293,149.7,7831,356,3069,139.5,4701,213.7,71.7,913,41.5,1958,89,224,10.2,230,10.5,1077,49,856,38.9,281,12.8,575,26.1,786,35.7,382,17.4,335,15.2,1541,70,1126,51.2,225,10.2,1121,51,52.8,0,West Coast Eagles
Western Bulldogs,4222,191.9,3741,170,7963,362,3141,142.8,4736,215.3,72.2,918,41.7,1575,71.6,178,8.1,206,9.4,904,41.1,877,39.9,277,12.6,600,27.3,785,35.7,379,17.2,377,17.1,1548,70.4,1030,46.8,214,9.7,1084,49.3,47.9,0,Western Bulldogs
All Clubs,84977,205,65170,157.1,150147,362.1,56905,137.3,92115,222.1,72.3,18163,43.9,36432,87.9,3986,9.6,4604,11.1,16953,40.9,15769,38.1,5048,12.2,10721,25.9,15322,37.1,6914,16.7,6915,16.7,27462,66.3,20668,49.9,4062,9.8,20829,50.2,49.3,,
