Club,Kicks,,Handballs,,Disposals,,Cont Poss,,Uncont Poss,,Disp eff %,Clangers,,Marks,,Cont marks,,Marks50,,HitOuts,,Clearances,,Centre clr,,Stoppages,,Rebound50,,Frees For,,Frees Agst,,Tackles,,One %s,,Bounces,,Inside50,,Goal acc %,top_four,
,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,,
Adelaide Crows,4877,212,3393,147.5,8270,359.6,3283,142.7,4924,214.1,70.3,1137,49.4,2062,89.7,254,11,309,13.4,1001,43.5,936,40.7,318,13.8,618,26.9,880,38.3,388,16.9,386,16.8,1383,60.1,988,43,147,6.4,1266,55,51.9,0,Adelaide Crows
Brisbane Lions,4303,195.6,3468,157.6,7771,353.2,2839,129,4930,224.1,72.2,1057,48,1975,89.8,188,8.5,224,10.2,1029,46.8,901,41,270,12.3,631,28.7,829,37.7,411,18.7,443,20.1,1376,62.5,932,42.4,125,5.7,971,44.1,47.8,0,Brisbane Lions
Carlton,4266,193.9,3260,148.2,7526,342.1,2863,130.1,4647,211.2,72.4,1014,46.1,1838,83.5,213,9.7,205,9.3,879,40,861,39.1,291,13.2,570,25.9,857,39,403,18.3,388,17.6,1247,56.7,972,44.2,185,8.4,973,44.2,47.3,0,Carlton
Collingwood,4543,206.5,3615,164.3,8158,370.8,3180,144.5,4933,224.2,71.8,1011,46,1834,83.4,219,10,286,13,843,38.3,856,38.9,250,11.4,606,27.5,793,36,400,18.2,356,16.2,1581,71.9,1026,46.6,113,5.1,1159,52.7,52,0,Collingwood
Essendon,4621,210,3690,167.7,8311,377.8,3000,136.4,5291,240.5,73.7,1078,49,2104,95.6,240,10.9,210,9.5,754,34.3,794,36.1,247,11.2,547,24.9,883,40.1,399,18.1,428,19.5,1459,66.3,949,43.1,109,5,1077,49,46.3,0,Essendon
Fremantle,5010,208.8,3996,166.5,9006,375.3,3372,140.5,5653,235.5,74.3,1052,43.8,2245,93.5,271,11.3,251,10.5,1405,58.5,1004,41.8,303,12.6,701,29.2,780,32.5,412,17.2,465,19.4,1527,63.6,900,37.5,129,5.4,1169,48.7,51.7,1,Fremantle
Geelong Cats,4175,198.8,3490,166.2,7665,365,2770,131.9,4915,234,74.5,974,46.4,2039,97.1,275,13.1,283,13.5,724,34.5,724,34.5,258,12.3,466,22.2,782,37.2,352,16.8,411,19.6,1429,68,838,39.9,121,5.8,1046,49.8,51.4,0,Geelong Cats
Gold Coast Suns,4242,192.8,2874,130.6,7116,323.5,2993,136,4041,183.7,69.2,1087,49.4,1676,76.2,216,9.8,207,9.4,779,35.4,851,38.7,281,12.8,570,25.9,922,41.9,418,19,383,17.4,1441,65.5,1078,49,219,10,1005,45.7,49.4,0,Gold Coast Suns
GWS Giants,4385,199.3,3622,164.6,8007,364,2810,127.7,5130,233.2,73.7,1018,46.3,2020,91.8,223,10.1,260,11.8,881,40,824,37.5,228,10.4,596,27.1,851,38.7,380,17.3,394,17.9,1487,67.6,927,42.1,355,16.1,1087,49.4,47.1,0,GWS Giants
