Club,Kicks,,Handballs,,Disposals,,Cont Poss,,Uncont Poss,,Disp eff %,Clangers,,Marks,,Cont marks,,Marks50,,HitOuts,,Clearances,,Centre clr,,Stoppages,,Rebound50,,Frees For,,Frees Agst,,Tackles,,One %s,,Bounces,,Inside50,,Goal acc %,top_four,
,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,,
Adelaide Crows,5469,218.8,4338,173.5,9807,392.3,3868,154.7,5986,239.4,73,1404,56.2,2273,90.9,310,12.4,366,14.6,1135,45.4,990,39.6,329,13.2,661,26.4,947,37.9,497,19.9,500,20,1795,71.8,1258,50.3,165,6.6,1438,57.5,51.8,1,Adelaide Crows
Brisbane Lions,4501,204.6,3502,159.2,8003,363.8,2878,130.8,5054,229.7,73,1197,54.4,2067,94,203,9.2,206,9.4,890,40.5,803,36.5,297,13.5,506,23,956,43.5,446,20.3,400,18.2,1367,62.1,1014,46.1,76,3.5,1013,46,52.2,0,Brisbane Lions
Carlton,4965,225.7,2948,134,7913,359.7,3026,137.5,4837,219.9,72.6,1165,53,2288,104,256,11.6,240,10.9,857,39,754,34.3,257,11.7,497,22.6,850,38.6,440,20,412,18.7,1526,69.4,1011,46,145,6.6,1029,46.8,49,0,Carlton
Collingwood,4898,222.6,3965,180.2,8863,402.9,3172,144.2,5716,259.8,73.4,1161,52.8,2326,105.7,250,11.4,278,12.6,945,43,824,37.5,271,12.3,553,25.1,810,36.8,395,18,349,15.9,1528,69.5,988,44.9,182,8.3,1200,54.5,47.1,0,Collingwood
Essendon,5051,219.6,4081,177.4,9132,397,3189,138.7,5899,256.5,74.2,1247,54.2,2399,104.3,267,11.6,283,12.3,835,36.3,788,34.3,308,13.4,480,20.9,924,40.2,418,18.2,428,18.6,1479,64.3,1061,46.1,185,8,1182,51.4,48.8,0,Essendon
Fremantle,4456,202.5,3481,158.2,7937,360.8,2934,133.4,4986,226.6,73.6,1165,53,1998,90.8,235,10.7,200,9.1,952,43.3,793,36,284,12.9,509,23.1,832,37.8,376,17.1,415,18.9,1401,63.7,971,44.1,112,5.1,1045,47.5,49.3,0,Fremantle
Geelong Cats,4970,198.8,4600,184,9570,382.8,3684,147.4,5934,237.4,73.3,1381,55.2,2175,87,310,12.4,315,12.6,1025,41,929,37.2,311,12.4,618,24.7,952,38.1,514,20.6,527,21.1,1901,76,1080,43.2,189,7.6,1324,53,48.9,1,Geelong Cats
Gold Coast Suns,4641,211,3885,176.6,8526,387.5,3037,138,5458,248.1,73.3,1187,54,2121,96.4,200,9.1,227,10.3,905,41.1,798,36.3,307,14,491,22.3,880,40,381,17.3,385,17.5,1356,61.6,1033,47,220,10,1065,48.4,50.6,0,Gold Coast Suns
GWS Giants,5339,213.6,4282,171.3,9621,384.8,3606,144.2,6020,240.8,74.6,1370,54.8,2225,89,243,9.7,292,11.7,1131,45.2,1056,42.2,339,13.6,717,28.7,981,39.2,470,18.8,526,21,1764,70.6,1180,47.2,248,9.9,1359,54.4,48.7,1,GWS Giants
